configuration,seed,true_id,pred_id,true_class,pred_class,count
Vision-only LSTM,45,0,3,Good,Surface-groove/void,88
Vision-only LSTM,45,1,0,Burr,Good,129
Vision-only LSTM,45,1,1,Burr,Burr,591
Vision-only LSTM,45,1,2,Burr,Flash-burr,160
Vision-only LSTM,45,1,3,Burr,Surface-groove/void,68
Vision-only LSTM,45,2,0,Flash-burr,Good,0
Vision-only LSTM,45,2,1,Flash-burr,Burr,60
Vision-only LSTM,45,2,2,Flash-burr,Flash-burr,377
Vision-only LSTM,45,2,3,Flash-burr,Surface-groove/void,21
Vision-only LSTM,45,3,0,Surface-groove/void,Good,0
Vision-only LSTM,45,3,1,Surface-groove/void,Burr,2
Vision-only LSTM,45,3,2,Surface-groove/void,Flash-burr,9
Vision-only LSTM,45,3,3,Surface-groove/void,Surface-groove/void,638
Vision-only LSTM,46,0,0,Good,Good,458
Vision-only LSTM,46,0,1,Good,Burr,45
Vision-only LSTM,46,0,2,Good,Flash-burr,0
Vision-only LSTM,46,0,3,Good,Surface-groove/void,23
Vision-only LSTM,46,1,0,Burr,Good,256
Vision-only LSTM,46,1,1,Burr,Burr,575
Vision-only LSTM,46,1,2,Burr,Flash-burr,58
Vision-only LSTM,46,1,3,Burr,Surface-groove/void,59
Vision-only LSTM,46,2,0,Flash-burr,Good,0
Vision-only LSTM,46,2,1,Flash-burr,Burr,24
Vision-only LSTM,46,2,2,Flash-burr,Flash-burr,413
Vision-only LSTM,46,2,3,Flash-burr,Surface-groove/void,21
Vision-only LSTM,46,3,0,Surface-groove/void,Good,20
Vision-only LSTM,46,3,1,Surface-groove/void,Burr,0
Vision-only LSTM,46,3,2,Surface-groove/void,Flash-burr,0
Vision-only LSTM,46,3,3,Surface-groove/void,Surface-groove/void,629
Vision-only LSTM,47,0,0,Good,Good,451
Vision-only LSTM,47,0,1,Good,Burr,64
Vision-only LSTM,47,0,2,Good,Flash-burr,8
Vision-only LSTM,47,0,3,Good,Surface-groove/void,3
Vision-only LSTM,47,1,0,Burr,Good,288
Vision-only LSTM,47,1,1,Burr,Burr,559
Vision-only LSTM,47,1,2,Burr,Flash-burr,100
Vision-only LSTM,47,1,3,Burr,Surface-groove/void,1
Vision-only LSTM,47,2,0,Flash-burr,Good,0
Vision-only LSTM,47,2,1,Flash-burr,Burr,44
Vision-only LSTM,47,2,2,Flash-burr,Flash-burr,393
Vision-only LSTM,47,2,3,Flash-burr,Surface-groove/void,21
Vision-only LSTM,47,3,0,Surface-groove/void,Good,0
Vision-only LSTM,47,3,1,Surface-groove/void,Burr,0
Vision-only LSTM,47,3,2,Surface-groove/void,Flash-burr,0
Vision-only LSTM,47,3,3,Surface-groove/void,Surface-groove/void,649
Vision-only LSTM,48,0,0,Good,Good,409
Vision-only LSTM,48,0,1,Good,Burr,33
Vision-only LSTM,48,0,2,Good,Flash-burr,0
Vision-only LSTM,48,0,3,Good,Surface-groove/void,84
Vision-only LSTM,48,1,0,Burr,Good,390
Vision-only LSTM,48,1,1,Burr,Burr,425
Vision-only LSTM,48,1,2,Burr,Flash-burr,79
Vision-only LSTM,48,1,3,Burr,Surface-groove/void,54
Vision-only LSTM,48,2,0,Flash-burr,Good,1
Vision-only LSTM,48,2,1,Flash-burr,Burr,28
Vision-only LSTM,48,2,2,Flash-burr,Flash-burr,408
Vision-only LSTM,48,2,3,Flash-burr,Surface-groove/void,21
Vision-only LSTM,48,3,0,Surface-groove/void,Good,0
Vision-only LSTM,48,3,1,Surface-groove/void,Burr,0
Vision-only LSTM,48,3,2,Surface-groove/void,Flash-burr,0
Vision-only LSTM,48,3,3,Surface-groove/void,Surface-groove/void,649
Vision-only LSTM,49,0,0,Good,Good,312
Vision-only LSTM,49,0,1,Good,Burr,174
Vision-only LSTM,49,0,2,Good,Flash-burr,0
Vision-only LSTM,49,0,3,Good,Surface-groove/void,40
Vision-only LSTM,49,1,0,Burr,Good,213
Vision-only LSTM,49,1,1,Burr,Burr,605
Vision-only LSTM,49,1,2,Burr,Flash-burr,72
Vision-only LSTM,49,1,3,Burr,Surface-groove/void,58
Vision-only LSTM,49,2,0,Flash-burr,Good,0
Vision-only LSTM,49,2,1,Flash-burr,Burr,38
Vision-only LSTM,49,2,2,Flash-burr,Flash-burr,399
Vision-only LSTM,49,2,3,Flash-burr,Surface-groove/void,21
Vision-only LSTM,49,3,0,Surface-groove/void,Good,2
Vision-only LSTM,49,3,1,Surface-groove/void,Burr,0
Vision-only LSTM,49,3,2,Surface-groove/void,Flash-burr,0
Vision-only LSTM,49,3,3,Surface-groove/void,Surface-groove/void,647
Vision-only LSTM,50,0,0,Good,Good,335
Vision-only LSTM,50,0,1,Good,Burr,183
Vision-only LSTM,50,0,2,Good,Flash-burr,0
Vision-only LSTM,50,0,3,Good,Surface-groove/void,8
Vision-only LSTM,50,1,0,Burr,Good,150
Vision-only LSTM,50,1,1,Burr,Burr,742
Vision-only LSTM,50,1,2,Burr,Flash-burr,42
Vision-only LSTM,50,1,3,Burr,Surface-groove/void,14
Vision-only LSTM,50,2,0,Flash-burr,Good,0
Vision-only LSTM,50,2,1,Flash-burr,Burr,54
Vision-only LSTM,50,2,2,Flash-burr,Flash-burr,383
Vision-only LSTM,50,2,3,Flash-burr,Surface-groove/void,21
Vision-only LSTM,50,3,0,Surface-groove/void,Good,0
Vision-only LSTM,50,3,1,Surface-groove/void,Burr,0
Vision-only LSTM,50,3,2,Surface-groove/void,Flash-burr,0
Vision-only LSTM,50,3,3,Surface-groove/void,Surface-groove/void,649
Vision-only LSTM,51,0,0,Good,Good,327
Vision-only LSTM,51,0,1,Good,Burr,158
Vision-only LSTM,51,0,2,Good,Flash-burr,0
Vision-only LSTM,51,0,3,Good,Surface-groove/void,41
Vision-only LSTM,51,1,0,Burr,Good,144
Vision-only LSTM,51,1,1,Burr,Burr,703
Vision-only LSTM,51,1,2,Burr,Flash-burr,42
Vision-only LSTM,51,1,3,Burr,Surface-groove/void,59
Vision-only LSTM,51,2,0,Flash-burr,Good,0
Vision-only LSTM,51,2,1,Flash-burr,Burr,50
Vision-only LSTM,51,2,2,Flash-burr,Flash-burr,387
Vision-only LSTM,51,2,3,Flash-burr,Surface-groove/void,21
Vision-only LSTM,51,3,0,Surface-groove/void,Good,2
Vision-only LSTM,51,3,1,Surface-groove/void,Burr,0
Vision-only LSTM,51,3,2,Surface-groove/void,Flash-burr,0
Vision-only LSTM,51,3,3,Surface-groove/void,Surface-groove/void,647
Fusion-LSTM without derivatives,42,0,0,Good,Good,469
Fusion-LSTM without derivatives,42,0,1,Good,Burr,9
Fusion-LSTM without derivatives,42,0,2,Good,Flash-burr,26
Fusion-LSTM without derivatives,42,0,3,Good,Surface-groove/void,22
Fusion-LSTM without derivatives,42,1,0,Burr,Good,144
Fusion-LSTM without derivatives,42,1,1,Burr,Burr,288
Fusion-LSTM without derivatives,42,1,2,Burr,Flash-burr,462
Fusion-LSTM without derivatives,42,1,3,Burr,Surface-groove/void,54
Fusion-LSTM without derivatives,42,2,0,Flash-burr,Good,2
Fusion-LSTM without derivatives,42,2,1,Flash-burr,Burr,26
Fusion-LSTM without derivatives,42,2,2,Flash-burr,Flash-burr,409
Fusion-LSTM without derivatives,42,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM without derivatives,42,3,0,Surface-groove/void,Good,26
Fusion-LSTM without derivatives,42,3,1,Surface-groove/void,Burr,0
Fusion-LSTM without derivatives,42,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM without derivatives,42,3,3,Surface-groove/void,Surface-groove/void,623
Fusion-LSTM without derivatives,43,0,0,Good,Good,409
Fusion-LSTM without derivatives,43,0,1,Good,Burr,114
Fusion-LSTM without derivatives,43,0,2,Good,Flash-burr,0
Fusion-LSTM without derivatives,43,0,3,Good,Surface-groove/void,3
Fusion-LSTM without derivatives,43,1,0,Burr,Good,186
Fusion-LSTM without derivatives,43,1,1,Burr,Burr,664
Fusion-LSTM without derivatives,43,1,2,Burr,Flash-burr,56
Fusion-LSTM without derivatives,43,1,3,Burr,Surface-groove/void,42
Fusion-LSTM without derivatives,43,2,0,Flash-burr,Good,0
Fusion-LSTM without derivatives,43,2,1,Flash-burr,Burr,40
Fusion-LSTM without derivatives,43,2,2,Flash-burr,Flash-burr,397
Fusion-LSTM without derivatives,43,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM without derivatives,43,3,0,Surface-groove/void,Good,8
Fusion-LSTM without derivatives,43,3,1,Surface-groove/void,Burr,0
Fusion-LSTM without derivatives,43,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM without derivatives,43,3,3,Surface-groove/void,Surface-groove/void,641
Fusion-LSTM without derivatives,44,0,0,Good,Good,380
Fusion-LSTM without derivatives,44,0,1,Good,Burr,33
Fusion-LSTM without derivatives,44,0,2,Good,Flash-burr,19
Fusion-LSTM without derivatives,44,0,3,Good,Surface-groove/void,94
Fusion-LSTM without derivatives,44,1,0,Burr,Good,132
Fusion-LSTM without derivatives,44,1,1,Burr,Burr,601
Fusion-LSTM without derivatives,44,1,2,Burr,Flash-burr,149
Fusion-LSTM without derivatives,44,1,3,Burr,Surface-groove/void,66
Fusion-LSTM without derivatives,44,2,0,Flash-burr,Good,4
Fusion-LSTM without derivatives,44,2,1,Flash-burr,Burr,51
Fusion-LSTM without derivatives,44,2,2,Flash-burr,Flash-burr,382
Fusion-LSTM without derivatives,44,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM without derivatives,44,3,0,Surface-groove/void,Good,29
Fusion-LSTM without derivatives,44,3,1,Surface-groove/void,Burr,0
Fusion-LSTM without derivatives,44,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM without derivatives,44,3,3,Surface-groove/void,Surface-groove/void,620
Fusion-LSTM without derivatives,45,0,0,Good,Good,437
Fusion-LSTM without derivatives,45,0,1,Good,Burr,21
Fusion-LSTM without derivatives,45,0,2,Good,Flash-burr,19
Fusion-LSTM without derivatives,45,0,3,Good,Surface-groove/void,49
Fusion-LSTM without derivatives,45,1,0,Burr,Good,199
Fusion-LSTM without derivatives,45,1,1,Burr,Burr,499
Fusion-LSTM without derivatives,45,1,2,Burr,Flash-burr,188
Fusion-LSTM without derivatives,45,1,3,Burr,Surface-groove/void,62
Fusion-LSTM without derivatives,45,2,0,Flash-burr,Good,0
Fusion-LSTM without derivatives,45,2,1,Flash-burr,Burr,39
Fusion-LSTM without derivatives,45,2,2,Flash-burr,Flash-burr,398
Fusion-LSTM without derivatives,45,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM without derivatives,45,3,0,Surface-groove/void,Good,2
Fusion-LSTM without derivatives,45,3,1,Surface-groove/void,Burr,0
Fusion-LSTM without derivatives,45,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM without derivatives,45,3,3,Surface-groove/void,Surface-groove/void,647
Fusion-LSTM without derivatives,46,0,0,Good,Good,374
Fusion-LSTM without derivatives,46,0,1,Good,Burr,9
Fusion-LSTM without derivatives,46,0,2,Good,Flash-burr,20
Fusion-LSTM without derivatives,46,0,3,Good,Surface-groove/void,123
Fusion-LSTM without derivatives,46,1,0,Burr,Good,124
Fusion-LSTM without derivatives,46,1,1,Burr,Burr,540
Fusion-LSTM without derivatives,46,1,2,Burr,Flash-burr,192
Fusion-LSTM without derivatives,46,1,3,Burr,Surface-groove/void,92
Fusion-LSTM without derivatives,46,2,0,Flash-burr,Good,0
Fusion-LSTM without derivatives,46,2,1,Flash-burr,Burr,50
Fusion-LSTM without derivatives,46,2,2,Flash-burr,Flash-burr,387
Fusion-LSTM without derivatives,46,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM without derivatives,46,3,0,Surface-groove/void,Good,19
Fusion-LSTM without derivatives,46,3,1,Surface-groove/void,Burr,4
Fusion-LSTM without derivatives,46,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM without derivatives,46,3,3,Surface-groove/void,Surface-groove/void,626
Fusion-LSTM without derivatives,47,0,0,Good,Good,405
Fusion-LSTM without derivatives,47,0,1,Good,Burr,32
Fusion-LSTM without derivatives,47,0,2,Good,Flash-burr,10
Fusion-LSTM without derivatives,47,0,3,Good,Surface-groove/void,79
Fusion-LSTM without derivatives,47,1,0,Burr,Good,139
Fusion-LSTM without derivatives,47,1,1,Burr,Burr,610
Fusion-LSTM without derivatives,47,1,2,Burr,Flash-burr,134
Fusion-LSTM without derivatives,47,1,3,Burr,Surface-groove/void,65
Fusion-LSTM without derivatives,47,2,0,Flash-burr,Good,1
Fusion-LSTM without derivatives,47,2,1,Flash-burr,Burr,38
Fusion-LSTM without derivatives,47,2,2,Flash-burr,Flash-burr,398
Fusion-LSTM without derivatives,47,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM without derivatives,47,3,0,Surface-groove/void,Good,0
Fusion-LSTM without derivatives,47,3,1,Surface-groove/void,Burr,0
Fusion-LSTM without derivatives,47,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM without derivatives,47,3,3,Surface-groove/void,Surface-groove/void,649
Fusion-LSTM without derivatives,48,0,0,Good,Good,464
Fusion-LSTM without derivatives,48,0,1,Good,Burr,14
Fusion-LSTM without derivatives,48,0,2,Good,Flash-burr,26
Fusion-LSTM without derivatives,48,0,3,Good,Surface-groove/void,22
Fusion-LSTM without derivatives,48,1,0,Burr,Good,151
Fusion-LSTM without derivatives,48,1,1,Burr,Burr,380
Fusion-LSTM without derivatives,48,1,2,Burr,Flash-burr,366
Fusion-LSTM without derivatives,48,1,3,Burr,Surface-groove/void,51
Fusion-LSTM without derivatives,48,2,0,Flash-burr,Good,6
Fusion-LSTM without derivatives,48,2,1,Flash-burr,Burr,18
Fusion-LSTM without derivatives,48,2,2,Flash-burr,Flash-burr,413
Fusion-LSTM without derivatives,48,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM without derivatives,48,3,0,Surface-groove/void,Good,26
Fusion-LSTM without derivatives,48,3,1,Surface-groove/void,Burr,0
Fusion-LSTM without derivatives,48,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM without derivatives,48,3,3,Surface-groove/void,Surface-groove/void,623
Fusion-LSTM without derivatives,49,0,0,Good,Good,471
Fusion-LSTM without derivatives,49,0,1,Good,Burr,33
Fusion-LSTM without derivatives,49,0,2,Good,Flash-burr,0
Fusion-LSTM without derivatives,49,0,3,Good,Surface-groove/void,22
Fusion-LSTM without derivatives,49,1,0,Burr,Good,163
Fusion-LSTM without derivatives,49,1,1,Burr,Burr,676
Fusion-LSTM without derivatives,49,1,2,Burr,Flash-burr,70
Fusion-LSTM without derivatives,49,1,3,Burr,Surface-groove/void,39
Fusion-LSTM without derivatives,49,2,0,Flash-burr,Good,12
Fusion-LSTM without derivatives,49,2,1,Flash-burr,Burr,12
Fusion-LSTM without derivatives,49,2,2,Flash-burr,Flash-burr,413
Fusion-LSTM without derivatives,49,2,3,Flash-burr,Surface-groove/void,21
