configuration,number_of_features,fold,seed,best_epoch,best_validation_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Fusion-LSTM with derivatives,20,1,46,5,0.4290691174925998,0.8556485355648535,0.6327736140511471,0.5942259126042703,0.6016210049527106,0.8379305503937721
Fusion-LSTM with derivatives,20,1,47,4,0.4834861860647641,0.8556485355648535,0.6295282181427078,0.6043659600520395,0.612196805418657,0.8459045618612272
Fusion-LSTM with derivatives,20,1,48,2,0.45807083553987976,0.8682008368200836,0.6429639992415324,0.6208578862784113,0.6277445735655661,0.8572921290396732
Fusion-LSTM with derivatives,20,1,49,15,0.5779820654845838,0.8744769874476988,0.6593995674628148,0.6189638019438279,0.6286958482351112,0.8590721941120709
Fusion-LSTM with derivatives,20,1,50,13,0.6144123483816283,0.8640167364016736,0.6380907303540881,0.6099525522308105,0.6164320508783723,0.8479087239285169
Fusion-LSTM with derivatives,20,1,51,13,0.38315923883730013,0.8472803347280334,0.6244364155353772,0.5825552919568378,0.5906641498200319,0.8311086182322874
Fusion-LSTM with derivatives,20,2,42,2,0.7058993746922804,0.8574423480083857,0.4599266929468234,0.5034707939119704,0.474247965968561,0.8075343341289342
Fusion-LSTM with derivatives,20,2,43,1,0.6037474581026362,0.8553459119496856,0.43428931043783153,0.49866310160427807,0.46249381341252166,0.7978105187032084
Fusion-LSTM with derivatives,20,2,44,1,0.737285706349377,0.8553459119496856,0.43506716256228783,0.49866310160427807,0.46299329781571835,0.798593777264196
Fusion-LSTM with derivatives,20,2,45,1,0.604270690653803,0.8721174004192872,0.6874394501617709,0.6236631016042781,0.6311724219275787,0.8233274980936961
Fusion-LSTM with derivatives,20,2,46,2,0.5827163365502595,0.8553459119496856,0.4390540615265516,0.49866310160427807,0.46552589478967343,0.8025652291227252
Fusion-LSTM with derivatives,20,2,47,1,0.6420467889849619,0.8553459119496856,0.43824339207048457,0.49866310160427807,0.465014630482519,0.8017634980917995
Fusion-LSTM with derivatives,20,2,48,3,0.6231093582884282,0.8574423480083857,0.4599266929468234,0.5034707939119704,0.474247965968561,0.8075343341289342
Fusion-LSTM with derivatives,20,2,49,1,0.6732637545588722,0.8448637316561844,0.4731373300134074,0.5023909913615796,0.4821918810453719,0.8060582222448686
Fusion-LSTM with derivatives,20,2,50,1,0.706967960809786,0.8553459119496856,0.43428931043783153,0.49866310160427807,0.46249381341252166,0.7978105187032084
Fusion-LSTM with derivatives,20,2,51,2,0.6428570180455501,0.8553459119496856,0.4366421524010631,0.49866310160427807,0.46399925241796064,0.80017124905136
